client_id,contact,contact_duration,number_contacts,pdays,previous_campaing_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
0,telephone,261,1,999,0,,0,1,2022-05-13
1,telephone,149,1,999,0,,0,1,2022-05-19
2,telephone,226,1,999,0,,0,1,2022-05-23
3,telephone,151,1,999,0,,0,1,2022-05-27
4,telephone,307,1,999,0,,0,1,2022-05-03
5,telephone,198,1,999,0,,0,1,2022-05-05
6,telephone,139,1,999,0,,0,1,2022-05-03
7,telephone,217,1,999,0,,0,1,2022-05-12
8,telephone,380,1,999,0,,0,1,2022-05-21
9,telephone,50,1,999,0,,0,1,2022-05-05
10,telephone,55,1,999,0,,0,1,2022-05-08
11,telephone,222,1,999,0,,0,1,2022-05-09
12,telephone,137,1,999,0,,0,1,2022-05-29
13,telephone,293,1,999,0,,0,1,2022-05-14
14,telephone,146,1,999,0,,0,1,2022-05-29
15,telephone,174,1,999,0,,0,1,2022-05-29
16,telephone,312,1,999,0,,0,1,2022-05-01
17,telephone,440,1,999,0,,0,1,2022-05-09
18,telephone,353,1,999,0,,0,1,2022-05-06
19,telephone,195,1,999,0,,0,1,2022-05-02
20,telephone,38,1,999,0,,0,1,2022-05-02
21,telephone,262,1,999,0,,0,1,2022-05-16
22,telephone,342,1,999,0,,0,1,2022-05-20
23,telephone,181,1,999,0,,0,1,2022-05-10
24,telephone,172,1,999,0,,0,1,2022-05-02
25,telephone,99,1,999,0,,0,1,2022-05-28
26,telephone,93,1,999,0,,0,1,2022-05-30
27,telephone,233,1,999,0,,0,1,2022-05-16
28,telephone,255,2,999,0,,0,1,2022-05-01
29,telephone,362,1,999,0,,0,1,2022-05-22
30,telephone,348,1,999,0,,0,1,2022-05-22
31,telephone,386,1,999,0,,0,1,2022-05-27
32,telephone,73,1,999,0,,0,1,2022-05-25
33,telephone,230,1,999,0,,0,1,2022-05-14
34,telephone,208,1,999,0,,0,1,2022-05-25
35,telephone,336,1,999,0,,0,1,2022-05-22
36,telephone,365,1,999,0,,0,1,2022-05-11
37,telephone,1666,1,999,0,,0,1,2022-05-03
38,telephone,577,1,999,0,,0,1,2022-05-02
39,telephone,137,1,999,0,,0,1,2022-05-20
40,telephone,366,1,999,0,,0,1,2022-05-05
41,telephone,314,1,999,0,,0,1,2022-05-25
42,telephone,160,1,999,0,,0,1,2022-05-22
43,telephone,212,1,999,0,,0,1,2022-05-01
44,telephone,188,1,999,0,,0,1,2022-05-17
45,telephone,22,1,999,0,,0,1,2022-05-28
46,telephone,616,1,999,0,,0,1,2022-05-15
